alsa-utils 1.2.15.2-1
amd-ucode 20260110-1
android-udev 20250525-1
at 3.2.5-5
base 3-3
base-devel 1-2
bat 0.26.1-1
btrfs-progs 6.17.1-2
clang 21.1.8-1
cmake 4.2.3-1
cpupower 6.19-2
cronie 1.7.2-2
deno 2.6.5-1
discord 1:0.0.124-1
efibootmgr 18-3
eza 0.23.4-1
fish 4.4.0-1
foliate 3.3.0-2
foot 1.25.0-1
fuse2 2.9.9-5
geoclue 2.8.0-1
git 2.53.0-1
git-delta 0.18.2-6
gnome-disk-utility 46.1-2
grim 1.5.0-2
gst-plugin-pipewire 1:1.4.10-2
gum 0.17.0-1
gvfs-gphoto2 1.58.1-1
gvfs-mtp 1.58.1-1
htop 3.4.1-1
hyprland 0.53.3-2
hyprpolkitagent 0.1.3-4
hyprshot 1.3.0-4
jq 1.8.1-1
less 1:692-1
lib32-mesa 1:25.3.5-1
lib32-vulkan-radeon 1:25.3.5-1
libnotify 0.8.8-1
libpulse 17.0+r98+gb096704c0-1
linux 6.18.9.arch1-2
linux-firmware 20260110-1
loupe 49.2-1
man-db 2.13.1-1
mesa-utils 9.0.0-7
mpc 0.35-1
mpd 0.24.8-1
nautilus 49.4-1
neovim 0.11.6-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
noto-fonts 1:2026.02.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.02.01-1
nwg-look 1.0.6-1
obs-studio 32.0.4-1
ollama-vulkan 0.16.1-1
opencode 1.1.53-3
otf-montserrat 9.000-1
pacman-contrib 1.13.1-1
papers 49.4-1
parallel 20260122-1
pavucontrol 1:6.2-1
pipewire 1:1.4.10-2
pipewire-alsa 1:1.4.10-2
pipewire-jack 1:1.4.10-2
pipewire-pulse 1:1.4.10-2
podman 5.7.1-1
podman-compose 1.5.0-2
podman-desktop 1.25.1-1
python-mutagen 1.47.0-4
python-pip 26.0.1-1
ripgrep 15.1.0-1
slurp 1.5.0-1
sox 14.7.0.7-1
speech-dispatcher 0.12.1-3
steam 1.0.0.85-3
sudo 1.9.17.p2-2
tiled 1.11.2-3
timeshift 25.12.4-1
timidity++ 2.15.0-12
tmux 3.6_a-1
totem 43.2-3
trash-cli 0.24.5.26-3
tree 2.3.1-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-nerd-fonts-symbols 3.4.0-1
ufw 0.36.2-7
unixodbc 2.3.14-1
unrar 1:7.2.4-1
unzip 6.0-23
vulkan-radeon 1:25.3.5-1
wget 1.25.0-3
wireplumber 0.5.13-1
wl-clipboard 1:2.2.1-3
wpa_supplicant 2:2.11-5
xdg-desktop-portal-hyprland 1.3.11-3
xf86-video-amdgpu 25.0.0-1
yt-dlp 2026.02.04-1
zram-generator 1.2.1-1
apple-fonts 7.0.5-1
appmenu-glib-translator-git 25.04.r8.gaea4ea3-1
awww-git 0.11.2.r139.g138c4eb-1
aylurs-gtk-shell-git 3.1.1.r0.ge169694-1
brave-bin 1:1.87.188-1
freedownloadmanager 6.33.0.6626-1
libastal-meta 1-8
minecraft-launcher 1:2.1.3-3
mpvpaper 1.8-1
nautilus-open-any-terminal 0.8.0-1
vscode-codicons-git v0.0.42.r88.542ec2a-1
whitesur-gtk-theme 2025.04.03-1
whitesur-icon-theme 2025.12.27-1
yay 12.5.7-1
yay-debug 12.5.7-1
